"FOR_TYPE","Category","id","lon","lat","FOR_CAT","FOREST","arf28","ase28","amaxt28","amint28","dist_cfa","dist_camp","aws_m1","dist_road","year","month","day"
"Eucalypt Medium Woodland","accident",1,141.1300017,-37.13,"Native forest",1,1.978571429,19.32857143,20.71071429,8.417857143,9442.205688,50966.48512,2.559201679,498.751451,2019,10,1
"Eucalypt Medium Woodland","accident",2,141.3,-37.65,"Native forest",1,1.535714286,18.475,19.1,7.560714286,6322.437944,6592.893057,2.559201679,102.2203216,2019,10,1
"Hardwood plantation","accident",3,141.48,-37.35,"Commercial plantation",1,1.535714286,19.33928571,19.18928571,7.353571429,7957.374086,31767.23504,2.559201679,1217.22446,2019,10,2
"Eucalypt Medium Open","accident",4,147.16,-37.85,"Native forest",1,3.785714286,18.23571429,19.75,8.671428571,7790.784559,8816.272429,5.22967997,281.6915114,2019,10,2
"Non forest","accident",5,148.1050025,-37.57999,"Non forest",0,1.9,16.86071429,19.05714286,9.575,10692.05478,15339.70194,4.027397959,215.5617583,2019,10,2
"Eucalypt Medium Open","accident",6,144.17999,-38.35,"Native forest",1,1.464285714,19.375,18.88571429,10.06071429,6054.056588,9419.403044,4.970447933,149.1154944,2019,10,2
"Non forest","accident",7,143.58,-36.15,"Non forest",0,0.692857143,22.04642857,24.68571429,7.442857143,13835.00664,30754.59303,2.730127467,239.9687114,2019,10,2
"Other forest  unallocated type","burning off",8,143.1425,-37.2824975,"Other forest",1,1.442857143,20.94285714,16.42142857,6.396428571,1745.562817,6306.152076,4.970447933,1170.399641,2019,10,3
"Non forest","lightning",9,141.15,-36.54,"Non forest",0,1.9,21.97857143,23.05714286,8.057142857,19430.10022,77174.82841,3.569327788,540.237815,2019,10,3
"Hardwood plantation","accident",10,143.36,-37.32,"Commercial plantation",1,1.442857143,20.94285714,16.42142857,6.396428571,5013.557958,7067.843739,4.970447933,550.8225537,2019,10,3
"Eucalypt Tall Open","lightning",11,148.63,-37.47,"Native forest",1,1.864285714,18.8,20.22857143,9.782142857,16570.50975,15460.07104,2.967168064,297.4808303,2019,10,6
"Eucalypt Medium Woodland","accident",12,148.42333,-37.10333167,"Native forest",1,2.385714286,18.3,17.51785714,6.585714286,14573.78158,18172.83849,2.967168064,42.80365706,2019,10,6
"Eucalypt Tall Open","burning off",13,148.79999,-37.3,"Native forest",1,2.75,17.25,19.44642857,8.889285714,9566.304163,9204.553508,2.967168064,386.6076993,2019,10,6
"Eucalypt Tall Open","burning off",14,148.79999,-37.36,"Native forest",1,2.75,17.25,19.44642857,8.889285714,9390.86896,9096.228719,2.967168064,593.6856708,2019,10,6
"Eucalypt Tall Open","lightning",15,148.85,-37.38,"Native forest",1,2.75,17.25,19.44642857,8.889285714,14361.40099,4711.218908,2.967168064,443.1745254,2019,10,6
"Eucalypt Medium Open","accident",16,144.73999,-36.86,"Native forest",1,2.114285714,21.64285714,24.32857143,9.092857143,6926.800815,19259.78962,2.730127467,42.48174878,2019,10,14
"Non forest","accident",17,144.229995,-37.28,"Non forest",0,1.953571429,21.525,23.18214286,10.3,2208.948652,2931.404887,2.730127467,167.4816144,2019,10,14
"Non forest","accident",18,143.63,-36.12,"Non forest",0,0.507142857,22.52142857,27.24642857,10.43214286,8377.471256,34265.54041,2.730127467,341.2594177,2019,10,14
"Non forest","accident",19,143.6333333,-36.12666667,"Non forest",0,0.414285714,22.80740741,28.63571429,12.01071429,8162.496177,33562.14337,2.730127467,242.3634005,2019,10,20
"Eucalypt Medium Woodland","accident",20,143.87,-36.84,"Native forest",1,1.757142857,22.47777778,26.26071429,11.95,3232.381862,6744.110302,2.730127467,52.58999634,2019,10,21
"Eucalypt Medium Open","accident",21,144.49,-36.89,"Native forest",1,2.907142857,23.30740741,26.93214286,11,2376.63295,1895.436543,2.730127467,210.9111639,2019,10,22
"Eucalypt Medium Open","accident",22,143.2533233,-37.22666667,"Native forest",1,2,23.17777778,21.87142857,11.33571429,5341.19554,4691.052521,4.970447933,163.0897149,2019,10,22
"Hardwood plantation","lightning",23,141.45999,-37.86,"Commercial plantation",1,2.185714286,22.68148148,26.49642857,12.78928571,8763.5397,17304.32769,2.559201679,1365.329265,2019,10,27
"Non forest","accident",24,144.26001,-36.71,"Non forest",0,3.164285714,22.07407407,28.61785714,14.56428571,1288.740781,13879.3009,2.730127467,45.25574435,2019,10,28
"Eucalypt Mallee Woodland","lightning",25,141.29,-34.8,"Native forest",1,2.75,21.18518519,30.95,16.08214286,45881.88552,79184.83391,5.22967997,10126.4671,2019,10,30
"Eucalypt Mallee Woodland","lightning",26,141.352,-34.656,"Native forest",1,2.75,21.18518519,30.95,16.08214286,29792.56176,95168.83053,4.027397959,6020.839385,2019,10,30
"Eucalypt Mallee Woodland","lightning",27,141.42,-34.9,"Native forest",1,2.75,21.18518519,30.95,16.08214286,37322.7624,68569.04235,5.22967997,5194.612691,2019,10,30
"Eucalypt Mallee Woodland","lightning",28,141.409995,-34.78,"Native forest",1,2.75,21.18518519,30.95,16.08214286,44085.07688,81724.87374,4.832404245,7661.791911,2019,10,30
"Other native forest","lightning",29,142.16,-35.52,"Native forest",1,3.042857143,20.94814815,30.87857143,15.02857143,15506.83216,74883.30901,5.22967997,247.9002093,2019,10,30
"Other native forest","lightning",30,141.62,-35.35,"Native forest",1,2.75,21.18518519,30.95,16.08214286,25944.43461,32101.07866,4.283610463,2648.799918,2019,10,30
"Eucalypt Mallee Woodland","lightning",31,141.66,-35.42,"Native forest",1,2.75,21.18518519,30.95,16.08214286,30535.04459,31840.32297,4.283610463,2733.344041,2019,10,30
"Eucalypt Medium Open","lightning",32,148.9649925,-37.564995,"Native forest",1,5.807142857,19.47777778,25.47857143,12.65,16808.24873,18977.55723,2.695614468,632.0821358,2019,11,1
"Eucalypt Medium Woodland","lightning",33,141.189995,-37.28,"Native forest",1,1.221428571,22.675,26.14642857,11.20714286,10233.19136,33850.81132,2.644794892,327.848363,2019,11,20
"Non forest","lightning",34,142.45999,-34.6,"Non forest",0,1.6,26.20357143,31.21428571,15.82857143,16392.90123,143591.6424,2.695614468,2858.793733,2019,11,20
"Eucalypt Mallee Woodland","lightning",35,142.53999,-34.9,"Native forest",1,1.528571429,26.15,30.31071429,14.38928571,16508.8878,128368.9414,2.695614468,550.1545122,2019,11,20
"Eucalypt Mallee Woodland","lightning",36,141.93,-34.82,"Native forest",1,0.957142857,25.65357143,31.01785714,13.95357143,36273.84202,94147.41379,3.947659124,1157.643071,2019,11,20
"Eucalypt Mallee Woodland","lightning",37,142.012,-34.844,"Native forest",1,0.957142857,25.65357143,31.01785714,13.95357143,32652.74779,96493.7061,3.947659124,1.919267269,2019,11,20
"Eucalypt Mallee Woodland","lightning",38,141.95999,-34.949995,"Native forest",1,0.957142857,25.65357143,31.01785714,13.95357143,21608.40793,84551.01497,3.947659124,922.8431802,2019,11,20
"Rainforest","lightning",39,148.669995,-37.48,"Native forest",1,2.521428571,19.22142857,24.77857143,14,16651.27501,15468.86486,2.695614468,484.1830343,2019,11,20
"Eucalypt Tall Open","lightning",40,147.7633317,-37.62666667,"Native forest",1,3.385714286,19.50357143,23.625,13.84642857,10749.06583,5987.158869,3.947659124,42.31054218,2019,11,20
"Eucalypt Medium Open","lightning",41,147.7600025,-37.495,"Native forest",1,3.385714286,19.50357143,23.625,13.84642857,14870.27741,12094.35944,3.947659124,184.8762325,2019,11,20
"Eucalypt Tall Open","lightning",42,147.830005,-37.6,"Native forest",1,3.385714286,19.50357143,23.625,13.84642857,11850.96838,6499.540529,3.947659124,456.914101,2019,11,20
"Eucalypt Tall Open","lightning",43,148.179994,-37.224,"Native forest",1,3.278571429,20.46785714,22.65357143,10.93214286,8909.767284,9311.855097,2.695614468,1272.571144,2019,11,20
"Eucalypt Tall Open","lightning",44,147.9533267,-37.33333333,"Native forest",1,3.278571429,20.46785714,22.65357143,10.93214286,11599.12566,12054.00302,2.695614468,403.2680525,2019,11,20
"Eucalypt Tall Open","lightning",45,148.57,-37.46,"Native forest",1,2.521428571,19.22142857,24.45,13.64642857,18403.89093,17475.44616,2.695614468,130.1039402,2019,11,20
"Eucalypt Tall Open","lightning",46,148.469995,-37.47,"Native forest",1,2.521428571,19.22142857,24.45,13.64642857,25843.48622,17076.582,2.695614468,632.0298475,2019,11,20
"Eucalypt Medium Open","lightning",47,147.1791789,-37.73698507,"Native forest",1,4.242857143,20.52857143,24.90714286,12.73571429,15212.01185,4774.514017,5.008369183,79.08795802,2019,11,20
"Eucalypt Medium Open","lightning",48,148.7900025,-37.74,"Native forest",1,2.521428571,19.22142857,24.63571429,14.33571429,15530.65269,12990.02395,3.947659124,1002.01769,2019,11,20
"Eucalypt Medium Open","accident",49,146.8666667,-37.82666667,"Native forest",1,4.242857143,20.52857143,24.90714286,12.73571429,11152.24801,1284.766179,4.240242229,222.0278598,2019,11,20
"Non forest","burning off",50,146.830005,-37.9,"Non forest",0,4.242857143,20.52857143,24.90714286,12.73571429,4053.134141,5540.026277,4.240242229,765.1758989,2019,11,20
"Eucalypt Medium Open","accident",51,146.7249983,-37.95833083,"Native forest",1,3.6,21.16428571,25.75714286,12.63571429,3097.717845,13599.86516,3.862583497,338.4510065,2019,11,20
"Eucalypt Medium Open","accident",52,146.49,-38,"Native forest",1,3.6,21.16428571,25.75714286,12.63571429,6991.049598,1547.969302,3.862583497,7.149937507,2019,11,20
"Eucalypt Medium Open","accident",53,146.39999,-38.02,"Native forest",1,3.6,21.83214286,25.70357143,12.39642857,7665.854524,4834.111088,2.839691877,120.3713972,2019,11,20
"Eucalypt Tall Open","lightning",54,146.4324962,-38.10499875,"Native forest",1,3.6,21.16428571,25.75714286,12.63571429,6595.320673,12243.6362,2.839691877,777.6025344,2019,11,20
"Hardwood plantation","accident",55,146.5199975,-38.089995,"Commercial plantation",1,3.6,21.16428571,25.75714286,12.63571429,6399.883284,10891.52789,2.839691877,85.4947032,2019,11,20
"Eucalypt Medium Open","lightning",56,148.2993117,-36.89103345,"Native forest",1,3.278571429,19.73571429,22.49642857,10.98928571,30675.50426,36637.98177,3.546236974,597.3122205,2019,11,21
"Rainforest","lightning",57,149.046,-37.49,"Native forest",1,4.014285714,18.46428571,24.19285714,12.79285714,13130.94131,15523.40176,2.695614468,107.1360518,2019,11,21
"Eucalypt Tall Open","lightning",58,148.984,-37.516,"Native forest",1,4.014285714,18.46428571,24.19285714,12.79285714,16289.84123,14835.51615,2.695614468,37.65050869,2019,11,21
"Eucalypt Medium Open","lightning",59,147.8266667,-37.17111111,"Native forest",1,3.521428571,20.57857143,24.67142857,10.37857143,13921.43116,6745.260361,2.695614468,731.2932481,2019,11,21
"Eucalypt Medium Woodland","lightning",60,149.2066667,-37.60666667,"Native forest",1,4.014285714,19.425,24.22857143,15.41428571,6239.453726,7241.026868,2.695614468,999.0370364,2019,11,21
"Eucalypt Tall Open","lightning",61,147.60001,-37.43999,"Native forest",1,3.521428571,20.57857143,24.67142857,10.37857143,22401.33814,3984.174505,3.947659124,292.9257074,2019,11,21
"Eucalypt Medium Woodland","accident",62,147.42,-36.9,"Native forest",1,7.492857143,23.27857143,15.625,7.946428571,11606.46382,23060.59543,2.695614468,111.5155195,2019,11,22
"Eucalypt Medium Open","lightning",63,147.1533317,-36.40666667,"Native forest",1,6.107142857,23.35,26.96785714,13.56785714,7855.228696,15588.5749,3.546236974,349.7798544,2019,11,22
"Eucalypt Medium Open","lightning",64,147.939998,-37.712,"Native forest",1,3.485714286,18.775,23.35714286,13.78928571,9779.920986,7768.496472,3.947659124,37.38378134,2019,11,22
"Eucalypt Tall Open","lightning",65,148.31,-37.34,"Native forest",1,3.785714286,19.73214286,22.48928571,11.02857143,17427.86596,13534.29674,2.695614468,628.2502649,2019,11,22
"Eucalypt Medium Open","lightning",66,147.14,-36.589995,"Native forest",1,6.121428571,23.35,25.88214286,12.58214286,10680.00141,6360.593622,3.546236974,887.2528405,2019,11,22
"Eucalypt Medium Open","lightning",67,147.3044456,-37.65555556,"Native forest",1,4.585714286,20.03571429,24.67142857,12.725,12946.53667,11291.65538,4.987438634,65.75406397,2019,11,22
"Other native forest","lightning",68,148.21,-37.82,"Native forest",1,3.485714286,18.775,23.35714286,13.78928571,9826.908851,17119.52196,3.947659124,264.617565,2019,11,22
"Eucalypt Tall Open","lightning",69,147.41333,-36.81333333,"Native forest",1,5.735714286,24.05,15.725,7.975,12946.65884,13736.46984,2.695614468,2104.711462,2019,11,23
"Eucalypt Medium Open","lightning",70,146.6333333,-36.96666667,"Native forest",1,4.878571429,23.23928571,16.27857143,7.760714286,25810.01137,8794.043792,4.987438634,1833.81098,2019,11,23
"Eucalypt Tall Open","lightning",71,147.38,-36.74,"Native forest",1,5.385714286,24.05,16.23214286,7.975,16258.61631,5088.69472,2.695614468,1164.565022,2019,11,23
"Eucalypt Tall Closed","lightning",72,146.907994,-37.075996,"Native forest",1,6.814285714,23.67142857,14.97857143,7.203571429,24420.5001,7869.337728,4.987438634,787.6422642,2019,11,23
"Eucalypt Medium Open","lightning",73,146.622002,-37.688,"Native forest",1,6.714285714,20.48928571,15.36428571,7.117857143,6635.355177,9252.8337,4.240242229,599.5882794,2019,11,23
"Eucalypt Medium Open","lightning",74,147.04001,-37.3,"Native forest",1,6.821428571,23.67142857,16.25714286,7.7,25783.44859,18427.14177,4.987438634,602.6486655,2019,11,23
"Eucalypt Medium Open","lightning",75,146.7533367,-37.52,"Native forest",1,3.807142857,20.775,24.99285714,12.81428571,16728.90785,17159.6235,4.240242229,1847.650164,2019,11,23
"Eucalypt Tall Open","lightning",76,147.14,-36.41999667,"Native forest",1,4.078571429,24.24642857,27.35,13.57857143,6814.244058,18254.63063,3.546236974,113.8410921,2019,11,23
"Non forest","accident",77,145.090005,-36.01,"Non forest",0,0.592857143,26.45357143,30.80714286,14.63928571,2256.016496,67958.03314,4.987438634,585.6077728,2019,11,23
"Eucalypt Tall Open","lightning",78,147.229995,-36.569995,"Native forest",1,4.092857143,24.24642857,26.42857143,12.59285714,11427.55583,1990.695934,3.546236974,1529.871611,2019,11,23
"Eucalypt Medium Woodland","lightning",79,147.51999,-36.06,"Native forest",1,1.478571429,24.62142857,24.35714286,13.70714286,5185.411943,8005.717691,3.546236974,526.1009354,2019,11,24
"Eucalypt Tall Open","lightning",80,147.38,-36.74,"Native forest",1,4.092857143,24.70357143,16.46785714,8.075,16258.61631,5088.69472,2.695614468,1164.565022,2019,11,24
"Eucalypt Medium Open","lightning",81,147.4399967,-36.9,"Native forest",1,3.921428571,25.175,16.73571429,8.378571429,11439.35336,23586.53513,2.695614468,1271.190133,2019,11,25
"Eucalypt Medium Open","lightning",82,147.9726289,-37.38421053,"Native forest",1,1.95,21.83571429,23.39642857,11.25357143,12376.00486,9513.561113,3.947659124,717.685947,2019,11,25
"Eucalypt Medium Open","lightning",83,146.73999,-37.64,"Native forest",1,2.564285714,21.78214286,25.50714286,12.95,10504.65568,15024.20945,4.240242229,794.5632988,2019,11,25
"Eucalypt Medium Open","lightning",84,146.72,-37.74,"Native forest",1,2.564285714,21.78214286,25.50714286,12.95,15121.10053,5229.856724,4.240242229,56.77230152,2019,11,25
"Eucalypt Tall Open","accident",85,147.909995,-37.11,"Native forest",1,1.564285714,23.11785714,25.75,10.58928571,23978.09843,11525.7851,2.695614468,5.098729157,2019,11,25
"Other native forest","lightning",86,146.67999,-37.64,"Native forest",1,3.7,22.18571429,16.17857143,7.410714286,5219.473862,13635.90071,4.240242229,715.223181,2019,11,25
"Non forest","lightning",87,146.5466733,-36.36666667,"Non forest",0,0.921428571,25.56428571,30.96785714,12.88928571,6718.646569,14465.54065,2.695614468,407.784173,2019,11,25
"Eucalypt Tall Open","lightning",88,147.28,-36.56,"Native forest",1,1.457142857,25.75357143,27.32142857,12.95714286,10533.81631,6599.12956,3.546236974,162.491776,2019,11,27
"Eucalypt Medium Open","lightning",89,147.89999,-37.63,"Native forest",1,1.385714286,21.11071429,24.38928571,14.09642857,10523.71516,9323.357648,3.947659124,121.042198,2019,11,28
"Eucalypt Medium Open","lightning",90,147.270005,-36.63,"Native forest",1,1.457142857,26.05,27.48214286,13.07142857,13166.62734,6506.643409,3.546236974,373.962825,2019,11,28
"Eucalypt Tall Open","lightning",91,147.92,-37.37,"Native forest",1,1.871428571,22.45357143,23.64285714,11.36785714,7653.080504,15811.73982,3.947659124,931.995623,2019,11,28
"Eucalypt Medium Open","lightning",92,147.56,-37.43999,"Native forest",1,1.292857143,24.42857143,26.28214286,10.63571429,24355.74401,3083.257459,3.947659124,1185.752414,2019,11,28
"Eucalypt Tall Open","lightning",93,147.969995,-37.42,"Native forest",1,1.385714286,21.11071429,24.38928571,14.09642857,13074.14291,11897.48407,3.947659124,575.3516697,2019,11,28
"Eucalypt Medium Open","lightning",94,147.16,-36.589995,"Native forest",1,1.457142857,26.05,27.48214286,13.07142857,10822.99811,4661.019238,3.546236974,546.6318042,2019,11,28
"Eucalypt Tall Open","lightning",95,148.28,-37.38,"Native forest",1,1.871428571,22.45357143,23.64285714,11.36785714,16498.36907,8835.482556,2.695614468,321.717673,2019,11,28
"Eucalypt Medium Open","lightning",96,148.389995,-37.31,"Native forest",1,1.707142857,23.07142857,24.025,11.47142857,17495.82742,13905.857,2.695614468,698.1842869,2019,11,29
"Eucalypt Low Open","lightning",97,147.949995,-37.48,"Native forest",1,1.15,21.60357143,24.69642857,14.23571429,15532.09211,10703.50906,3.947659124,17.81367453,2019,11,29
"Eucalypt Medium Woodland","lightning",98,147.42,-36.88,"Native forest",1,3.6,27.23928571,17.49642857,9.089285714,13802.00619,20921.44092,2.695614468,346.4862015,2019,11,29
"Eucalypt Tall Open","lightning",99,147.98,-37.41,"Native forest",1,2.164285714,21.30714286,24.24642857,12.175,13551.56708,10493.51859,4.590803453,145.7070251,2019,12,4
"Eucalypt Medium Open","accident",100,148.3999967,-37.31,"Native forest",1,2.164285714,21.53928571,24.24285714,11.975,18066.79918,14544.45428,3.391332385,116.2834883,2019,12,5
"Eucalypt Medium Open","lightning",101,147.963996,-37.628,"Native forest",1,1.235714286,20.62142857,24.58214286,14.35,14771.46857,12188.78797,4.590803453,84.28820735,2019,12,5
"Non forest","lightning",102,147.12,-36.62,"Non forest",0,4.285714286,26.09642857,17.98571429,9.725,7568.803144,9382.529762,4.728444759,470.1252331,2019,12,6
"Eucalypt Medium Open","lightning",103,147.56,-37.43999,"Native forest",1,1.207142857,23.675,27.23571429,11.47142857,24355.74401,3083.257459,4.590803453,1185.752414,2019,12,6
"Eucalypt Medium Open","lightning",104,147.2272718,-36.59817818,"Native forest",1,1.8,25.01785714,28.025,14.04285714,12485.57465,3099.754643,4.728444759,976.4068985,2019,12,7
"Eucalypt Medium Open","accident",105,148.3999967,-37.31,"Native forest",1,2.6,20.45,24.02857143,12.06785714,18066.79918,14544.45428,3.391332385,116.2834883,2019,12,7
"Eucalypt Medium Open","lightning",106,148.2533367,-37.34666667,"Native forest",1,2.6,20.45,24.02857143,12.06785714,17812.84977,12130.31208,3.391332385,311.9926716,2019,12,7
"Eucalypt Tall Closed","lightning",107,147.60001,-37.47,"Native forest",1,1.492857143,23.37857143,26.94285714,11.56785714,25361.64516,6878.319872,4.590803453,925.4923203,2019,12,7
"Eucalypt Tall Open","lightning",108,148.304,-37.41199867,"Native forest",1,3.807142857,20.16071429,23.4,11.62142857,15354.39872,6846.862095,3.391332385,503.4776475,2019,12,9
"Non forest","accident",109,145.4199975,-37.63,"Non forest",0,2.642857143,21.775,27.07142857,12.73928571,2955.337224,10882.24928,4.462141999,440.4858347,2019,12,9
"Eucalypt Medium Open","lightning",110,145.5266633,-37.59333,"Native forest",1,2.642857143,21.775,27.07142857,12.73928571,5316.827789,4351.131553,4.462141999,123.6621596,2019,12,9
"Non forest","lightning",111,140.98,-35.67,"Non forest",0,0.271428571,24.05,30.45,12.33571429,38297.87112,34681.28837,4.878858899,21070.5263,2019,12,11
"Non forest","lightning",112,141.029995,-35.69,"Non forest",0,0.271428571,24.05,30.45,12.33571429,39142.97646,32156.46374,4.878858899,14895.48356,2019,12,11
"Eucalypt Tall Open","lightning",113,148.26001,-37.4,"Native forest",1,3.842857143,21,22.97142857,11.06071429,13650.11966,6262.228944,3.391332385,636.9503383,2019,12,11
"Eucalypt Tall Closed","lightning",114,147.5355578,-37.47333333,"Native forest",1,1.571428571,24.33214286,26.525,10.53571429,29511.42909,3165.507778,4.590803453,273.237455,2019,12,12
"Non forest","lightning",115,143.409995,-36.7,"Non forest",0,0.135714286,25.61785714,32.48928571,13.82142857,7368.290538,14235.71109,4.462141999,2234.835217,2019,12,12
"Eucalypt Tall Open","lightning",116,147.96666,-37.5,"Native forest",1,2.807142857,20.59642857,24.21785714,13.84642857,18187.80091,10437.18426,4.590803453,331.3718873,2019,12,12
"Eucalypt Medium Open","lightning",117,147.95999,-37.52,"Native forest",1,2.807142857,20.67142857,24.825,14.13214286,19583.47686,8883.948893,4.590803453,516.7533572,2019,12,13
"Eucalypt Tall Open","lightning",118,147.56,-37.5,"Native forest",1,1.935714286,22.43214286,25.98571429,12.95,25961.57641,6731.396084,4.590803453,325.4084317,2019,12,13
"Eucalypt Medium Open","lightning",119,148.02,-37.48,"Native forest",1,2.807142857,21.06785714,24.975,14.175,13799.2279,13114.56005,4.590803453,532.8421815,2019,12,14
"Eucalypt Medium Open","lightning",120,147.590005,-37.49333333,"Native forest",1,1.928571429,22.99642857,26.675,13.72142857,25893.02556,7766.853776,4.590803453,108.0723896,2019,12,16
"Eucalypt Medium Open","lightning",121,148.012,-37.467998,"Native forest",1,2.778571429,21.4,25.83571429,14.65357143,14773.07467,12420.5705,4.590803453,14.9845495,2019,12,16
"Eucalypt Medium Open","lightning",122,148.449995,-37.3,"Native forest",1,3.264285714,21.53214286,24.83928571,12.03214286,20560.78835,17477.70234,3.391332385,911.0515221,2019,12,16
"Eucalypt Medium Open","lightning",123,148.25,-37.42,"Native forest",1,3.264285714,21.53214286,24.83928571,12.03214286,11330.66363,3977.250295,3.391332385,1175.928263,2019,12,16
"Eucalypt Medium Open","lightning",124,147.95999,-37.52,"Native forest",1,2.778571429,21.4,25.83571429,14.65357143,19583.47686,8883.948893,4.590803453,516.7533572,2019,12,16
"Eucalypt Tall Open","lightning",125,148.04001,-37.42,"Native forest",1,3.264285714,21.53214286,24.83928571,12.03214286,14817.69994,6783.796763,4.590803453,1370.27102,2019,12,16
"Eucalypt Tall Open","accident",126,147.94,-37.32,"Native forest",1,3.264285714,21.53214286,24.83928571,12.03214286,11257.68274,10371.70967,3.391332385,95.8663394,2019,12,16
"Eucalypt Medium Open","accident",127,144.2466633,-37.32666667,"Native forest",1,0.692857143,25.01428571,31.32142857,14.50714286,3391.545102,5025.199673,4.462141999,318.8594285,2019,12,16
"Eucalypt Medium Open","lightning",128,144.21,-37.22,"Native forest",1,0.692857143,25.01428571,31.32142857,14.50714286,7090.728308,5106.113346,4.462141999,329.7036828,2019,12,16
"Eucalypt Medium Open","accident",129,144.16,-37.38,"Native forest",1,0.692857143,25.01428571,30.94642857,14.37857143,3335.662896,1403.835053,4.462141999,9.259458246,2019,12,16
"Non forest","lightning",130,142.14,-37.6,"Non forest",0,0.192857143,22.96071429,29.08928571,11.90714286,7410.025979,32109.6792,4.076911831,331.2981934,2019,12,16
"Non forest","lightning",131,141.229995,-37.47,"Non forest",0,0.307142857,23.48928571,29.55357143,11.85,11216.3393,12839.35681,4.076911831,226.2064688,2019,12,16
"Eucalypt Tall Open","accident",132,148.32001,-37.31,"Native forest",1,3.271428571,21.31428571,24.76428571,12.30357143,14451.39158,10537.25377,3.391332385,82.03082118,2019,12,17
"Eucalypt Tall Open","lightning",133,148.54001,-37.33,"Native forest",1,3.271428571,21.31428571,24.76428571,12.30357143,14395.64479,14429.99382,3.391332385,380.8789808,2019,12,17
"Non forest","accident",134,145.38,-37.34,"Non forest",0,0.878571429,23.60714286,26.78928571,13.36428571,9734.511549,12848.8797,4.462141999,19.96625675,2019,12,17
"Eucalypt Tall Open","lightning",135,147.5,-37.46,"Native forest",1,1.564285714,24.66785714,28.22142857,11.74285714,22319.33918,2830.781798,4.590803453,17.17529172,2019,12,17
"Eucalypt Tall Open","accident",136,146.16,-37.52,"Native forest",1,3.164285714,21.73571429,18.51785714,9.421428571,9581.937107,5450.784777,4.878858899,509.3600867,2019,12,17
"Eucalypt Tall Open","accident",137,146.2399938,-37.58749625,"Native forest",1,3.164285714,21.73571429,18.51785714,9.421428571,2539.710314,2661.715267,4.878858899,64.2613883,2019,12,17
"Eucalypt Tall Open","lightning",138,146.509995,-37.56,"Native forest",1,3.164285714,21.73571429,18.51785714,9.521428571,12679.62911,1520.727093,5.276927255,788.4023212,2019,12,17
"Eucalypt Tall Open","lightning",139,146.5533367,-37.60666667,"Native forest",1,3.164285714,21.73571429,18.51785714,9.521428571,6722.821896,5504.38726,5.276927255,735.2479533,2019,12,17
"Eucalypt Medium Open","lightning",140,146.7466658,-37.67333333,"Native forest",1,2.942857143,20.99285714,26.66428571,13.91785714,12104.1281,12111.83987,5.276927255,257.4942484,2019,12,17
"Eucalypt Tall Closed","accident",141,146.5,-37.66,"Native forest",1,3.164285714,21.73571429,18.51785714,9.471428571,11598.39287,10495.38174,5.276927255,32.00973614,2019,12,17
"Eucalypt Medium Open","lightning",142,146.60001,-37.68,"Native forest",1,3.164285714,21.73571429,18.51785714,9.471428571,6117.283846,11015.88278,5.276927255,751.7050837,2019,12,17
"Eucalypt Tall Open","accident",143,146.5428614,-37.75142571,"Native forest",1,3.164285714,21.73571429,18.51785714,9.514285714,15468.5852,3697.273433,4.878858899,94.09010101,2019,12,17
"Melaleuca","lightning",144,141.28,-37.72,"Native forest",1,0.307142857,23.39285714,29.5,11.77142857,6721.89962,14331.22469,4.076911831,857.1170461,2019,12,17
"Eucalypt Medium Woodland","lightning",145,141.2799967,-37.78,"Native forest",1,0.314285714,23.575,27.925,12.02857143,3998.400763,16279.41677,4.076911831,751.5970584,2019,12,17
"Eucalypt Medium Woodland","lightning",146,146.89999,-38.24,"Native forest",1,1.771428571,22.91785714,26.625,14.52142857,7365.766221,29119.49721,4.878858899,137.3894833,2019,12,17
"Eucalypt Medium Open","lightning",147,146.1466667,-37.38,"Native forest",1,1.571428571,24.51071429,30.68928571,13.72142857,8521.870822,1739.523049,5.276927255,1454.456815,2019,12,17
"Eucalypt Tall Open","lightning",148,146.12,-37.48,"Native forest",1,1.571428571,24.51071429,30.68928571,13.72142857,15098.40582,2398.402978,4.878858899,726.7286592,2019,12,17
"Eucalypt Tall Open","accident",149,146.316,-37.555998,"Native forest",1,3.164285714,21.73571429,18.51785714,9.521428571,5980.131205,5033.39929,4.878858899,529.0748872,2019,12,17
"Eucalypt Tall Open","lightning",150,147.384995,-37.5549975,"Native forest",1,2.942857143,20.99285714,26.66428571,13.91785714,16123.87029,14366.52894,5.473166448,314.1978536,2019,12,17
"Eucalypt Medium Woodland","accident",151,146.889995,-38.18,"Native forest",1,1.771428571,22.91785714,26.625,14.52142857,10286.27436,35057.96871,4.878858899,13.13750064,2019,12,17
"Softwood plantation","lightning",152,145.65,-37.5,"Commercial plantation",1,1.942857143,22.27857143,28.39642857,13.11428571,5562.33321,8311.829345,4.462141999,371.7630979,2019,12,17
"Eucalypt Medium Open","lightning",153,146.9499983,-37.36666667,"Native forest",1,2.942857143,20.99285714,26.66428571,13.91785714,28762.29537,19186.87312,5.649056992,1887.711712,2019,12,17
"Eucalypt Medium Open","lightning",154,146.38,-37.32,"Native forest",1,3.021428571,24.88928571,18.6,10.1,20301.13659,2624.15054,5.276927255,1038.931561,2019,12,17
"Eucalypt Medium Open","lightning",155,147.0533367,-37.28666667,"Native forest",1,6.092857143,26.38571429,17.56785714,9.082142857,25992.80999,19172.17352,5.473166448,1071.209773,2019,12,17
